% Freq(Hz) h_c
3.1002414e-08 1.9167106e-14
3.1082112e-08 2.1445970e-14
3.1161810e-08 2.4460683e-14
3.1241507e-08 2.8603373e-14
3.1321205e-08 3.4606351e-14
3.1400903e-08 4.4012733e-14
3.1480601e-08 6.0727153e-14
3.1560298e-08 9.8330105e-14
3.1639996e-08 2.5883130e-13
3.1719694e-08 4.1371954e-13
3.1799391e-08 1.1577305e-13
3.1879089e-08 6.7731577e-14
3.1958787e-08 4.8160238e-14
3.2038485e-08 3.7585957e-14
3.2118182e-08 3.0998777e-14
3.2197880e-08 2.6527225e-14
3.2277578e-08 2.3313606e-14
3.2357275e-08 2.0909535e-14
3.2436973e-08 1.9057885e-14
3.2516671e-08 1.7600709e-14
3.2596369e-08 1.6435678e-14
3.2676066e-08 1.5493622e-14
3.2755764e-08 1.4726135e-14
3.2835462e-08 1.4098338e-14
3.2915160e-08 1.3584472e-14
3.2994857e-08 1.3165087e-14
3.3074555e-08 1.2825200e-14
3.3154253e-08 1.2553045e-14
3.3233950e-08 1.2339206e-14
3.3313648e-08 1.2175988e-14
3.3393346e-08 1.2056967e-14
3.3473044e-08 1.1976646e-14
3.3552741e-08 1.1930194e-14
3.3632439e-08 1.1913250e-14
3.3712137e-08 1.1921766e-14
3.3791834e-08 1.1951898e-14
3.3871532e-08 1.1999924e-14
3.3951230e-08 1.2062201e-14
3.4030928e-08 1.2135156e-14
3.4110625e-08 1.2215296e-14
3.4190323e-08 1.2299267e-14
3.4270021e-08 1.2383916e-14
3.4349719e-08 1.2466388e-14
3.4429416e-08 1.2544215e-14
3.4509114e-08 1.2615406e-14
3.4588812e-08 1.2678519e-14
3.4668509e-08 1.2732701e-14
3.4748207e-08 1.2777690e-14
3.4827905e-08 1.2813788e-14
3.4907603e-08 1.2841788e-14
3.4987300e-08 1.2862883e-14
3.5066998e-08 1.2878555e-14
3.5146696e-08 1.2890459e-14
3.5226394e-08 1.2900311e-14
3.5306091e-08 1.2909787e-14
3.5385789e-08 1.2920440e-14
3.5465487e-08 1.2933636e-14
3.5545184e-08 1.2950507e-14
3.5624882e-08 1.2971922e-14
3.5704580e-08 1.2998469e-14
3.5784278e-08 1.3030462e-14
3.5863975e-08 1.3067940e-14
3.5943673e-08 1.3110689e-14
3.6023371e-08 1.3158267e-14
3.6103068e-08 1.3210036e-14
3.6182766e-08 1.3265195e-14
3.6262464e-08 1.3322828e-14
3.6342162e-08 1.3381949e-14
3.6421859e-08 1.3441548e-14
3.6501557e-08 1.3500646e-14
3.6581255e-08 1.3558342e-14
3.6660953e-08 1.3613856e-14
3.6740650e-08 1.3666568e-14
3.6820348e-08 1.3716045e-14
3.6900046e-08 1.3762058e-14
3.6979743e-08 1.3804584e-14
3.7059441e-08 1.3843802e-14
3.7139139e-08 1.3880069e-14
3.7218837e-08 1.3913892e-14
3.7298534e-08 1.3945890e-14
3.7378232e-08 1.3976756e-14
3.7457930e-08 1.4007215e-14
3.7537627e-08 1.4037979e-14
3.7617325e-08 1.4069716e-14
3.7697023e-08 1.4103013e-14
3.7776721e-08 1.4138353e-14
3.7856418e-08 1.4176093e-14
3.7936116e-08 1.4216457e-14
3.8015814e-08 1.4259526e-14
3.8095512e-08 1.4305241e-14
3.8175209e-08 1.4353413e-14
3.8254907e-08 1.4403735e-14
3.8334605e-08 1.4455800e-14
3.8414302e-08 1.4509128e-14
3.8494000e-08 1.4563189e-14
3.8573698e-08 1.4617432e-14
3.8653396e-08 1.4671318e-14
3.8733093e-08 1.4724343e-14
3.8812791e-08 1.4776070e-14
3.8892489e-08 1.4826148e-14
3.8972186e-08 1.4874330e-14
3.9051884e-08 1.4920485e-14
3.9131582e-08 1.4964601e-14
3.9211280e-08 1.5006784e-14
3.9290977e-08 1.5047246e-14
3.9370675e-08 1.5086291e-14
3.9450373e-08 1.5124294e-14
3.9530071e-08 1.5161681e-14
3.9609768e-08 1.5198899e-14
3.9689466e-08 1.5236393e-14
3.9769164e-08 1.5274586e-14
3.9848861e-08 1.5313849e-14
3.9928559e-08 1.5354491e-14
4.0008257e-08 1.5396740e-14
4.0087955e-08 1.5440736e-14
4.0167652e-08 1.5486523e-14
4.0247350e-08 1.5534054e-14
4.0327048e-08 1.5583190e-14
4.0406745e-08 1.5633714e-14
4.0486443e-08 1.5685339e-14
4.0566141e-08 1.5737731e-14
4.0645839e-08 1.5790521e-14
4.0725536e-08 1.5843328e-14
4.0805234e-08 1.5895780e-14
4.0884932e-08 1.5947536e-14
4.0964630e-08 1.5998299e-14
4.1044327e-08 1.6047838e-14
4.1124025e-08 1.6095995e-14
4.1203723e-08 1.6142696e-14
4.1283420e-08 1.6187951e-14
4.1363118e-08 1.6231853e-14
4.1442816e-08 1.6274573e-14
4.1522514e-08 1.6316345e-14
4.1602211e-08 1.6357454e-14
4.1681909e-08 1.6398218e-14
4.1761607e-08 1.6438971e-14
4.1841304e-08 1.6480044e-14
4.1921002e-08 1.6521744e-14
4.2000700e-08 1.6564344e-14
4.2080398e-08 1.6608064e-14
4.2160095e-08 1.6653061e-14
4.2239793e-08 1.6699425e-14
4.2319491e-08 1.6747171e-14
4.2399189e-08 1.6796243e-14
4.2478886e-08 1.6846515e-14
4.2558584e-08 1.6897802e-14
4.2638282e-08 1.6949866e-14
4.2717979e-08 1.7002435e-14
4.2797677e-08 1.7055212e-14
4.2877375e-08 1.7107897e-14
4.2957073e-08 1.7160200e-14
4.3036770e-08 1.7211858e-14
4.3116468e-08 1.7262648e-14
4.3196166e-08 1.7312401e-14
4.3275864e-08 1.7361012e-14
4.3355561e-08 1.7408442e-14
4.3435259e-08 1.7454719e-14
4.3514957e-08 1.7499942e-14
4.3594654e-08 1.7544265e-14
4.3674352e-08 1.7587897e-14
4.3754050e-08 1.7631083e-14
4.3833748e-08 1.7674091e-14
4.3913445e-08 1.7717201e-14
4.3993143e-08 1.7760685e-14
4.4072841e-08 1.7804792e-14
4.4152538e-08 1.7849740e-14
4.4232236e-08 1.7895697e-14
4.4311934e-08 1.7942780e-14
4.4391632e-08 1.7991044e-14
4.4471329e-08 1.8040481e-14
4.4551027e-08 1.8091024e-14
4.4630725e-08 1.8142546e-14
4.4710423e-08 1.8194871e-14
4.4790120e-08 1.8247781e-14
4.4869818e-08 1.8301032e-14
4.4949516e-08 1.8354362e-14
4.5029213e-08 1.8407512e-14
4.5108911e-08 1.8460234e-14
4.5188609e-08 1.8512308e-14
4.5268307e-08 1.8563555e-14
4.5348004e-08 1.8613844e-14
4.5427702e-08 1.8663101e-14
4.5507400e-08 1.8711314e-14
4.5587097e-08 1.8758531e-14
4.5666795e-08 1.8804856e-14
4.5746493e-08 1.8850447e-14
4.5826191e-08 1.8895503e-14
4.5905888e-08 1.8940255e-14
4.5985586e-08 1.8984951e-14
4.6065284e-08 1.9029842e-14
4.6144982e-08 1.9075171e-14
4.6224679e-08 1.9121156e-14
4.6304377e-08 1.9167983e-14
4.6384075e-08 1.9215789e-14
4.6463772e-08 1.9264664e-14
4.6543470e-08 1.9314636e-14
4.6623168e-08 1.9365680e-14
4.6702866e-08 1.9417712e-14
4.6782563e-08 1.9470597e-14
4.6862261e-08 1.9524156e-14
4.6941959e-08 1.9578173e-14
4.7021656e-08 1.9632412e-14
4.7101354e-08 1.9686626e-14
4.7181052e-08 1.9740573e-14
4.7260750e-08 1.9794025e-14
4.7340447e-08 1.9846787e-14
4.7420145e-08 1.9898705e-14
